"178395"	"1"	"Authorized"	"2021-10-21 00:00:00"	"2021-10-21T00:00:00.000000Z"	"10"	"21"	"4"	"0"	"C_ID_c416c3893d"	"M_ID_919a23c3e5"	"705"	"B"	"24.77"	"0.0"	"low"	"groceries"	"standard"	"42.619"	"-73.807"	"2020-10"	"2020-10-01T00:00:00.000000Z"	"385"	"cash_back"	"41.745"	"-72.726"	"759.0"	"57.0"	"POINT(-73.807 42.619)"	"New York"	"New York"	"POINT(-72.726 41.745)"	"131.90780325770288"	"Connecticut"	"Connecticut"	"24.77"	"24.77"	"24.77"	"24.77"	"24.77"	"24.77"	"24.77"	"24.77"
"238112"	"1"	"Authorized"	"2021-12-17 17:29:40"	"2021-12-17T17:29:40.000000Z"	"12"	"17"	"5"	"0"	"C_ID_b2aecfa731"	"M_ID_ca0526814f"	"278"	"A"	"207.79"	"0.0"	"medium"	"restaurant/dining"	"standard"	"41.788"	"-72.7"	"2021-10"	"2021-10-01T00:00:00.000000Z"	"77"	"cash_back"	"42.676"	"-73.723"	"791.0"	"33.0"	"POINT(-72.7 41.788)"	"Connecticut"	"Connecticut"	"POINT(-73.723 42.676)"	"129.84651205387516"	"New York"	"New York"	"71.29"	"621.14"	"254.65857142857143"	"1782.6100000000001"	"207.79"	"440.1"	"323.945"	"647.89"
"12614"	"1"	"Authorized"	"2021-01-31 10:11:36"	"2021-01-31T10:11:36.000000Z"	"1"	"31"	"7"	"1"	"C_ID_3c09de9f96"	"M_ID_f17eb07832"	"119"	"D"	"712.65"	"0.0"	"high"	"insurance"	"standard"	"42.214"	"-71.787"	"2020-09"	"2020-09-01T00:00:00.000000Z"	"152"	"cash_back"	"43.211"	"-71.525"	"564.0"	"41.0"	"POINT(-71.787 42.214)"	"Massachusetts"	"Massachusetts"	"POINT(-71.525 43.211)"	"112.814197077409"	"New Hampshire"	"New Hampshire"	"712.65"	"712.65"	"712.65"	"712.65"	"15.94"	"837.0"	"384.8614285714286"	"2694.03"
"179370"	"0"	"Fraudulent"	"2021-10-21 21:02:14"	"2021-10-21T21:02:14.000000Z"	"10"	"21"	"4"	"0"	"C_ID_ae2e52663c"	"M_ID_c355870ab2"	"580"	"D"	"34.4"	"0.0"	"low"	"internet"	"essential"	"41.713"	"-72.662"	"2021-09"	"2021-09-01T00:00:00.000000Z"	"50"	"cash_back"	"41.715"	"-73.881"	"479.0"	"56.0"	"POINT(-72.662 41.713)"	"Connecticut"	"Connecticut"	"POINT(-73.881 41.715)"	"101.44544626906138"	"New York"	"New York"	"34.4"	"34.4"	"34.4"	"34.4"	"10.33"	"4014.38"	"160.2104375"	"25633.670000000002"
"217162"	"0"	"Fraudulent"	"2021-11-29 19:33:06"	"2021-11-29T19:33:06.000000Z"	"11"	"29"	"1"	"0"	"C_ID_0deb6b8920"	"M_ID_e202e3cada"	"401"	"A"	"113.98"	"0.0"	"medium"	"luxury goods"	"discretionary"	"42.287"	"-71.846"	"2020-02"	"2020-02-01T00:00:00.000000Z"	"667"	"dining_entertainment"	"41.879"	"-70.929"	"306.0"	"46.0"	"POINT(-71.846 42.287)"	"Massachusetts"	"Massachusetts"	"POINT(-70.929 41.879)"	"88.37816236427975"	"Massachusetts"	"Massachusetts"	"18.35"	"1446.65"	"269.1333333333333"	"3229.6"	"13.5"	"178.37"	"65.27555555555556"	"587.48"
"10570"	"1"	"Authorized"	"2021-01-26 10:51:32"	"2021-01-26T10:51:32.000000Z"	"1"	"26"	"2"	"0"	"C_ID_6e3740e35c"	"M_ID_3d4d381073"	"416"	"A"	"66.48"	"0.0"	"low"	"internet"	"essential"	"41.706"	"-73.918"	"2018-12"	"2018-12-01T00:00:00.000000Z"	"787"	"travel"	"42.676"	"-73.771"	"578.0"	"21.0"	"POINT(-73.918 41.706)"	"New York"	"New York"	"POINT(-73.771 42.676)"	"108.4266911449933"	"New York"	"New York"	"49.18"	"66.48"	"57.83"	"115.66"	"44.03"	"66.48"	"53.23"	"159.69"
"215006"	"1"	"Authorized"	"2021-11-27 17:20:31"	"2021-11-27T17:20:31.000000Z"	"11"	"27"	"6"	"1"	"C_ID_1f1282a45b"	"M_ID_9a24c5f117"	"195"	"A"	"32.63"	"0.0"	"low"	"gas"	"essential"	"41.721"	"-72.685"	"2020-08"	"2020-08-01T00:00:00.000000Z"	"483"	"cash_back"	"40.396"	"-80.014"	"759.0"	"45.0"	"POINT(-72.685 41.721)"	"Connecticut"	"Connecticut"	"POINT(-80.014 40.396)"	"633.19008628965"	"Pennsylvania"	"Pennsylvania"	"21.5"	"558.44"	"284.1025"	"4545.64"	"3.49"	"3167.56"	"278.39333333333326"	"15868.419999999996"
"162081"	"1"	"Authorized"	"2021-10-02 18:02:22"	"2021-10-02T18:02:22.000000Z"	"10"	"2"	"6"	"1"	"C_ID_79d12526b2"	"M_ID_156ab9f73e"	"333"	"D"	"487.92"	"0.0"	"medium"	"insurance"	"standard"	"42.62"	"-73.76"	"2021-03"	"2021-03-01T00:00:00.000000Z"	"215"	"cash_back"	"41.74"	"-73.911"	"729.0"	"29.0"	"POINT(-73.76 42.62)"	"New York"	"New York"	"POINT(-73.911 41.74)"	"98.54037631377412"	"New York"	"New York"	"10.33"	"487.92"	"181.48333333333335"	"1633.3500000000001"	"176.27"	"1031.05"	"539.5425"	"2158.17"
"66880"	"1"	"Authorized"	"2021-05-21 11:23:42"	"2021-05-21T11:23:42.000000Z"	"5"	"21"	"5"	"0"	"C_ID_5b0f7389dd"	"M_ID_ea0fa7e47b"	"683"	"B"	"45.79"	"0.0"	"low"	"gas"	"essential"	"41.791"	"-72.629"	"2021-04"	"2021-04-01T00:00:00.000000Z"	"50"	"cash_back"	"42.263"	"-71.76"	"567.0"	"47.0"	"POINT(-72.629 41.791)"	"Connecticut"	"Connecticut"	"POINT(-71.76 42.263)"	"89.03739725253668"	"Massachusetts"	"Massachusetts"	"45.79"	"387.97"	"140.165"	"560.66"	"45.79"	"45.79"	"45.79"	"45.79"
"1139"	"1"	"Authorized"	"2021-01-01 21:06:21"	"2021-01-01T21:06:21.000000Z"	"1"	"1"	"5"	"0"	"C_ID_f21fcde360"	"M_ID_3184fe8235"	"401"	"D"	"59.58"	"0.0"	"low"	"luxury goods"	"discretionary"	"41.742"	"-72.674"	"2020-12"	"2020-12-01T00:00:00.000000Z"	"31"	"dining_entertainment"	"41.791"	"-72.677"	"442.0"	"50.0"	"POINT(-72.674 41.742)"	"Connecticut"	"Connecticut"	"POINT(-72.677 41.791)"	"5.448082983320201"	"Connecticut"	"Connecticut"	"59.58"	"59.58"	"59.58"	"59.58"	"59.58"	"59.58"	"59.58"	"59.58"
