204946	1	Authorized	2021-11-18 00:00:00	2021-11-18T00:00:00.000000Z	11	18	4	0	C_ID_e15091c8e3	M_ID_104ddcbca6	130	D	82.54	0.0	low	luxury goods	discretionary	41.692	-73.916	2021-02	2021-02-01T00:00:00.000000Z	290	cash_back	41.577	-71.617	596.0	28.0	POINT(-73.916 41.692)	New York	New York	POINT(-71.617 41.577)	191.48	Rhode Island	Rhode Island
210043	1	Authorized	2021-11-23 01:37:47	2021-11-23T01:37:47.000000Z	11	23	2	0	C_ID_defbdc659b	M_ID_3111c6df35	119	D	860.96	1.0	low	insurance	standard	40.413	-79.982	2021-07	2021-07-01T00:00:00.000000Z	145	cash_back	43.238	-71.592	342.0	48.0	POINT(-79.982 40.413)	Pennsylvania	Pennsylvania	POINT(-71.592 43.238)	762.4	New Hampshire	New Hampshire
205524	1	Authorized	2021-11-18 16:05:52	2021-11-18T16:05:52.000000Z	11	18	4	0	C_ID_48b1c039fa	M_ID_5a0a412718	889	D	282.74	0.0	medium	consumer electronics	discretionary	42.208	-71.797	2021-08	2021-08-01T00:00:00.000000Z	109	cash_back	40.421	-79.973	301.0	21.0	POINT(-71.797 42.208)	Massachusetts	Massachusetts	POINT(-79.973 40.421)	710.84	Pennsylvania	Pennsylvania
58791	1	Authorized	2021-05-06 14:48:25	2021-05-06T14:48:25.000000Z	5	6	4	0	C_ID_706d60e90b	M_ID_f871ea0773	299	C	233.29	0.0	medium	luxury goods	discretionary	41.679	-73.948	2020-12	2020-12-01T00:00:00.000000Z	156	cash_back	43.163	-71.526	364.0	57.0	POINT(-73.948 41.679)	New York	New York	POINT(-71.526 43.163)	258.35	New Hampshire	New Hampshire
133462	1	Authorized	2021-08-29 14:30:59	2021-08-29T14:30:59.000000Z	8	29	7	1	C_ID_59513832f6	M_ID_652b2c3692	360	D	52.05	0.0	low	gas	essential	41.77	-72.726	2021-08	2021-08-01T00:00:00.000000Z	28	cash_back	43.177	-71.569	339.0	31.0	POINT(-72.726 41.77)	Connecticut	Connecticut	POINT(-71.569 43.177)	182.98	New Hampshire	New Hampshire
49010	1	Authorized	2021-04-17 21:53:23	2021-04-17T21:53:23.000000Z	4	17	6	1	C_ID_7df86316f4	M_ID_ea45ddd04f	278	B	41.62	0.0	low	gas	essential	40.435	-79.955	2020-07	2020-07-01T00:00:00.000000Z	290	cash_back	42.296	-71.852	369.0	36.0	POINT(-79.955 40.435)	Pennsylvania	Pennsylvania	POINT(-71.852 42.296)	706.84	Massachusetts	Massachusetts
159873	1	Authorized	2021-09-29 21:56:02	2021-09-29T21:56:02.000000Z	9	29	3	0	C_ID_61633eccfb	M_ID_9583aefbb7	560	C	33.6	0.0	low	gas	essential	41.786	-72.714	2020-08	2020-08-01T00:00:00.000000Z	424	cash_back	42.668	-73.79	667.0	48.0	POINT(-72.714 41.786)	Connecticut	Connecticut	POINT(-73.79 42.668)	132.16	New York	New York
123145	0	Fraudulent	2021-08-16 11:56:00	2021-08-16T11:56:00.000000Z	8	16	1	0	C_ID_7606757cd2	M_ID_eaff9ad7d8	518	B	195.45	0.0	medium	consumer electronics	discretionary	41.13	-73.409	2020-04	2020-04-01T00:00:00.000000Z	502	cash_back	40.444	-79.964	673.0	20.0	POINT(-73.409 41.13)	Connecticut	Connecticut	POINT(-79.964 40.444)	556.98	Pennsylvania	Pennsylvania
19385	1	Authorized	2021-02-15 15:39:20	2021-02-15T15:39:20.000000Z	2	15	1	0	C_ID_a096f63bc8	M_ID_e5374dabc0	130	C	21.01	1.0	low	luxury goods	discretionary	43.218	-71.526	2021-01	2021-01-01T00:00:00.000000Z	45	dining_entertainment	42.298	-71.776	790.0	94.0	POINT(-71.526 43.218)	New Hampshire	New Hampshire	POINT(-71.776 42.298)	104.32	Massachusetts	Massachusetts
237161	0	Fraudulent	2021-12-16 19:02:44	2021-12-16T19:02:44.000000Z	12	16	4	0	C_ID_43ad462f91	M_ID_d280c75213	889	B	274.76	0.0	medium	consumer electronics	discretionary	42.253	-71.81	2021-11	2021-11-01T00:00:00.000000Z	45	cash_back	40.447	-79.963	837.0	24.0	POINT(-71.81 42.253)	Massachusetts	Massachusetts	POINT(-79.963 40.447)	709.23	Pennsylvania	Pennsylvania
